ActiveLearner,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningStyle,Motivation,OnlineCourses,PassStatus,Resources,StressLevel,StudyHours
No,19.0,59.0,64.0,1,0,40.0,No,D,Female,Yes,Kinesthetic,Low,8.0,Fail,Medium,1,19.0
No,23.0,90.0,64.0,0,0,66.0,No,C,Female,Yes,Reading/Writing,Low,16.0,Pass,Medium,1,19.0
No,28.0,67.0,64.0,0,1,99.0,No,A,Female,Yes,Auditory,Low,19.0,Pass,Medium,1,19.0
Yes,19.0,59.0,64.0,1,0,40.0,Yes,D,Female,Yes,Kinesthetic,Low,8.0,Fail,Medium,1,19.0
Yes,23.0,90.0,64.0,0,0,66.0,Yes,C,Female,Yes,Reading/Writing,Low,16.0,Pass,Medium,1,19.0
Yes,28.0,67.0,64.0,0,1,99.0,Yes,A,Female,Yes,Auditory,Low,19.0,Pass,Medium,1,19.0
Yes,19.0,59.0,64.0,1,0,40.0,Yes,D,Female,Yes,Kinesthetic,Low,8.0,Fail,Low,1,19.0
Yes,23.0,90.0,64.0,0,0,66.0,Yes,C,Female,Yes,Reading/Writing,Low,16.0,Pass,Low,1,19.0
Yes,28.0,67.0,64.0,0,1,99.0,Yes,A,Female,Yes,Auditory,Low,19.0,Pass,Low,1,19.0
Yes,19.0,59.0,64.0,1,0,40.0,Yes,D,Female,Yes,Kinesthetic,Medium,8.0,Fail,Medium,1,19.0
Yes,23.0,90.0,64.0,0,0,66.0,Yes,C,Female,Yes,Reading/Writing,Medium,16.0,Pass,Medium,1,19.0
Yes,28.0,67.0,64.0,0,1,99.0,Yes,A,Female,Yes,Auditory,Medium,19.0,Pass,Medium,1,19.0
No,19.0,59.0,64.0,1,0,40.0,No,D,Female,Yes,Kinesthetic,Medium,8.0,Fail,High,1,19.0
No,23.0,90.0,64.0,0,0,66.0,No,C,Female,Yes,Reading/Writing,Medium,16.0,Pass,High,1,19.0
No,28.0,67.0,64.0,0,1,99.0,No,A,Female,Yes,Auditory,Medium,19.0,Pass,High,1,19.0
Yes,29.0,65.0,98.0,0,1,46.0,Yes,D,Male,Yes,Visual,Medium,3.0,Fail,Medium,2,24.0
Yes,27.0,71.0,98.0,1,1,83.0,Yes,B,Male,Yes,Visual,Medium,0.0,Pass,Medium,,24.0
Yes,25.0,61.0,98.0,1,1,95.0,Yes,A,Male,Yes,Auditory,Medium,5.0,Pass,Medium,,24.0
No,29.0,65.0,98.0,0,1,46.0,No,D,Male,Yes,Visual,High,3.0,Fail,Low,2,24.0
No,27.0,71.0,98.0,1,1,83.0,No,B,Male,Yes,Visual,High,0.0,Pass,Low,,24.0
No,25.0,61.0,98.0,1,1,95.0,No,A,Male,Yes,Auditory,High,5.0,Pass,Low,,24.0
No,29.0,65.0,98.0,0,1,46.0,No,D,Male,Yes,Visual,Medium,3.0,Fail,Low,2,24.0
No,27.0,71.0,98.0,1,1,83.0,No,B,Male,Yes,Visual,Medium,0.0,Pass,Low,,24.0
No,25.0,61.0,98.0,1,1,95.0,No,A,Male,Yes,Auditory,Medium,5.0,Pass,Low,,24.0
Yes,29.0,65.0,98.0,0,1,46.0,Yes,D,Male,Yes,Visual,High,3.0,Fail,Medium,2,24.0
Yes,27.0,71.0,98.0,1,1,83.0,Yes,B,Male,Yes,Visual,High,0.0,Pass,Medium,,24.0
Yes,25.0,61.0,98.0,1,1,95.0,Yes,A,Male,Yes,Auditory,High,5.0,Pass,Medium,,24.0
No,29.0,65.0,98.0,0,1,46.0,No,D,Male,No,Visual,Low,3.0,Fail,Low,2,24.0
No,27.0,71.0,98.0,1,1,83.0,No,B,Male,No,Visual,Low,0.0,Pass,Low,,24.0
No,25.0,61.0,98.0,1,1,95.0,No,A,Male,No,Auditory,Low,5.0,Pass,Low,,24.0
Yes,20.0,75.0,89.0,1,1,54.0,Yes,D,Male,Yes,Visual,Medium,17.0,Fail,Medium,2,29.0
Yes,23.0,59.0,89.0,1,1,42.0,Yes,D,Male,Yes,Kinesthetic,Medium,4.0,Fail,Medium,2,29.0
Yes,23.0,96.0,89.0,0,1,62.0,Yes,C,Male,Yes,Visual,Medium,1.0,Pass,Medium,2,29.0
Yes,20.0,75.0,89.0,1,1,54.0,Yes,D,Male,Yes,Visual,Low,17.0,Fail,Low,2,29.0
Yes,23.0,59.0,89.0,1,1,42.0,Yes,D,Male,Yes,Kinesthetic,Low,4.0,Fail,Low,2,29.0
Yes,23.0,96.0,89.0,0,1,62.0,Yes,C,Male,Yes,Visual,Low,1.0,Pass,Low,2,29.0
Yes,19.0,63.0,92.0,1,1,40.0,Yes,D,Female,Yes,Reading/Writing,Medium,12.0,Fail,Medium,2,19.0
Yes,26.0,86.0,92.0,0,1,94.0,Yes,A,Female,Yes,Kinesthetic,Medium,3.0,Pass,Medium,2,19.0
No,19.0,63.0,92.0,1,1,40.0,No,D,Female,Yes,Reading/Writing,Medium,12.0,Fail,High,2,19.0
No,26.0,86.0,92.0,0,1,94.0,No,A,Female,Yes,Kinesthetic,Medium,3.0,Pass,High,2,19.0
Yes,19.0,63.0,92.0,1,1,40.0,Yes,D,Female,Yes,Reading/Writing,Medium,12.0,Fail,High,2,19.0
Yes,26.0,86.0,92.0,0,1,94.0,Yes,A,Female,Yes,Kinesthetic,Medium,3.0,Pass,High,2,19.0
No,19.0,63.0,92.0,1,1,40.0,No,D,Female,Yes,Reading/Writing,High,12.0,Fail,Medium,2,19.0
No,26.0,86.0,92.0,0,1,94.0,No,A,Female,Yes,Kinesthetic,High,3.0,Pass,Medium,2,19.0
Yes,21.0,57.0,84.0,1,1,48.0,Yes,D,Male,Yes,Kinesthetic,Low,10.0,Fail,Low,2,29.0
Yes,28.0,74.0,84.0,0,1,60.0,Yes,C,Male,Yes,Kinesthetic,Low,14.0,Pass,Low,,29.0
Yes,21.0,57.0,84.0,1,1,48.0,Yes,D,Male,Yes,Kinesthetic,Medium,10.0,Fail,Medium,2,29.0
Yes,28.0,74.0,84.0,0,1,60.0,Yes,C,Male,Yes,Kinesthetic,Medium,14.0,Pass,Medium,,29.0
Yes,18.0,91.0,78.0,0,1,58.0,Yes,C,Male,Yes,Kinesthetic,Medium,17.0,Pass,High,2,25.0
Yes,18.0,91.0,78.0,0,1,58.0,Yes,C,Male,Yes,Kinesthetic,Medium,17.0,Pass,Low,2,25.0
No,19.0,74.0,94.0,1,0,92.0,No,A,Male,Yes,Reading/Writing,High,3.0,Pass,High,2,17.0
No,19.0,74.0,94.0,1,0,92.0,No,A,Male,Yes,Reading/Writing,Low,3.0,Pass,Medium,2,17.0
No,19.0,74.0,94.0,1,0,92.0,No,A,Male,Yes,Reading/Writing,Medium,3.0,Pass,Medium,2,17.0
Yes,19.0,74.0,94.0,1,0,92.0,Yes,A,Male,Yes,Reading/Writing,Medium,3.0,Pass,Medium,2,17.0
No,19.0,74.0,94.0,1,0,92.0,No,A,Male,Yes,Reading/Writing,High,3.0,Pass,Low,2,17.0
Yes,19.0,74.0,94.0,1,0,92.0,Yes,A,Male,Yes,Reading/Writing,Low,3.0,Pass,Low,2,17.0
Yes,19.0,74.0,94.0,1,0,92.0,Yes,A,Male,Yes,Reading/Writing,Medium,3.0,Pass,High,2,17.0
Yes,27.0,65.0,98.0,0,0,58.0,Yes,C,Male,Yes,Kinesthetic,Medium,5.0,Pass,Medium,2,23.0
Yes,27.0,100.0,98.0,1,0,93.0,Yes,A,Male,Yes,Auditory,Medium,4.0,Pass,Medium,2,23.0
No,27.0,65.0,98.0,0,0,58.0,No,C,Male,Yes,Kinesthetic,Medium,5.0,Pass,Low,2,23.0
No,27.0,100.0,98.0,1,0,93.0,No,A,Male,Yes,Auditory,Medium,4.0,Pass,Low,2,23.0
No,27.0,65.0,98.0,0,0,58.0,No,C,Male,Yes,Kinesthetic,Medium,5.0,Pass,High,2,23.0
No,27.0,100.0,98.0,1,0,93.0,No,A,Male,Yes,Auditory,Medium,4.0,Pass,High,2,23.0
Yes,27.0,65.0,98.0,0,0,58.0,Yes,C,Male,Yes,Kinesthetic,Low,5.0,Pass,High,2,23.0
Yes,27.0,100.0,98.0,1,0,93.0,Yes,A,Male,Yes,Auditory,Low,4.0,Pass,High,2,23.0
No,18.0,68.0,80.0,1,0,73.0,No,B,Male,No,Auditory,Medium,13.0,Pass,High,2,17.0
No,24.0,64.0,80.0,1,1,69.0,No,C,Male,No,Reading/Writing,Medium,11.0,Pass,High,,17.0
No,23.0,68.0,80.0,1,1,87.0,No,A,Male,No,Visual,Medium,7.0,Pass,High,1,17.0
No,27.0,64.0,80.0,0,1,88.0,No,A,Male,No,Visual,Medium,12.0,Pass,High,,17.0
No,29.0,73.0,80.0,1,1,78.0,No,B,Male,No,Auditory,Medium,0.0,Pass,High,,17.0
No,18.0,68.0,80.0,1,0,73.0,No,B,Male,Yes,Auditory,Medium,13.0,Pass,Medium,2,17.0
No,24.0,64.0,80.0,1,1,69.0,No,C,Male,Yes,Reading/Writing,Medium,11.0,Pass,Medium,,17.0
No,23.0,68.0,80.0,1,1,87.0,No,A,Male,Yes,Visual,Medium,7.0,Pass,Medium,1,17.0
No,27.0,64.0,80.0,0,1,88.0,No,A,Male,Yes,Visual,Medium,12.0,Pass,Medium,,17.0
No,29.0,73.0,80.0,1,1,78.0,No,B,Male,Yes,Auditory,Medium,0.0,Pass,Medium,,17.0
No,18.0,68.0,80.0,1,0,73.0,No,B,Male,Yes,Auditory,Medium,13.0,Pass,High,2,17.0
