ActiveLearner,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningStyle,Motivation,OnlineCourses,PassStatus,Resources,StressLevel,StudyHours,Cluster
No,19.0,59.0,64.0,1,<Na>,40.0,No,D,Female,Yes,2,Low,8.0,Fail,Medium,1,19.0,3
No,23.0,90.0,64.0,<Na>,<Na>,66.0,No,C,Female,Yes,3,Low,16.0,Pass,Medium,1,19.0,2
No,28.0,67.0,64.0,<Na>,1,99.0,No,A,Female,Yes,1,Low,19.0,Pass,Medium,1,19.0,1
Yes,19.0,59.0,64.0,1,<Na>,40.0,Yes,D,Female,Yes,2,Low,8.0,Fail,Medium,1,19.0,3
Yes,23.0,90.0,64.0,<Na>,<Na>,66.0,Yes,C,Female,Yes,3,Low,16.0,Pass,Medium,1,19.0,2
Yes,28.0,67.0,64.0,<Na>,1,99.0,Yes,A,Female,Yes,1,Low,19.0,Pass,Medium,1,19.0,1
Yes,19.0,59.0,64.0,1,<Na>,40.0,Yes,D,Female,Yes,2,Low,8.0,Fail,Low,1,19.0,3
Yes,23.0,90.0,64.0,<Na>,<Na>,66.0,Yes,C,Female,Yes,3,Low,16.0,Pass,Low,1,19.0,2
Yes,28.0,67.0,64.0,<Na>,1,99.0,Yes,A,Female,Yes,1,Low,19.0,Pass,Low,1,19.0,1
Yes,19.0,59.0,64.0,1,<Na>,40.0,Yes,D,Female,Yes,2,Medium,8.0,Fail,Medium,1,19.0,3
Yes,23.0,90.0,64.0,<Na>,<Na>,66.0,Yes,C,Female,Yes,3,Medium,16.0,Pass,Medium,1,19.0,2
Yes,28.0,67.0,64.0,<Na>,1,99.0,Yes,A,Female,Yes,1,Medium,19.0,Pass,Medium,1,19.0,1
No,19.0,59.0,64.0,1,<Na>,40.0,No,D,Female,Yes,2,Medium,8.0,Fail,High,1,19.0,3
No,23.0,90.0,64.0,<Na>,<Na>,66.0,No,C,Female,Yes,3,Medium,16.0,Pass,High,1,19.0,2
No,28.0,67.0,64.0,<Na>,1,99.0,No,A,Female,Yes,1,Medium,19.0,Pass,High,1,19.0,1
Yes,29.0,65.0,98.0,<Na>,1,46.0,Yes,D,Male,Yes,<Na>,Medium,3.0,Fail,Medium,2,24.0,0
Yes,27.0,71.0,98.0,1,1,83.0,Yes,B,Male,Yes,<Na>,Medium,0.0,Pass,Medium,<Na>,24.0,1
Yes,25.0,61.0,98.0,1,1,95.0,Yes,A,Male,Yes,1,Medium,5.0,Pass,Medium,<Na>,24.0,1
No,29.0,65.0,98.0,<Na>,1,46.0,No,D,Male,Yes,<Na>,High,3.0,Fail,Low,2,24.0,0
No,27.0,71.0,98.0,1,1,83.0,No,B,Male,Yes,<Na>,High,0.0,Pass,Low,<Na>,24.0,1
No,25.0,61.0,98.0,1,1,95.0,No,A,Male,Yes,1,High,5.0,Pass,Low,<Na>,24.0,1
No,29.0,65.0,98.0,<Na>,1,46.0,No,D,Male,Yes,<Na>,Medium,3.0,Fail,Low,2,24.0,0
No,27.0,71.0,98.0,1,1,83.0,No,B,Male,Yes,<Na>,Medium,0.0,Pass,Low,<Na>,24.0,1
No,25.0,61.0,98.0,1,1,95.0,No,A,Male,Yes,1,Medium,5.0,Pass,Low,<Na>,24.0,1
Yes,29.0,65.0,98.0,<Na>,1,46.0,Yes,D,Male,Yes,<Na>,High,3.0,Fail,Medium,2,24.0,0
Yes,27.0,71.0,98.0,1,1,83.0,Yes,B,Male,Yes,<Na>,High,0.0,Pass,Medium,<Na>,24.0,1
Yes,25.0,61.0,98.0,1,1,95.0,Yes,A,Male,Yes,1,High,5.0,Pass,Medium,<Na>,24.0,1
No,29.0,65.0,98.0,<Na>,1,46.0,No,D,Male,No,<Na>,Low,3.0,Fail,Low,2,24.0,0
No,27.0,71.0,98.0,1,1,83.0,No,B,Male,No,<Na>,Low,0.0,Pass,Low,<Na>,24.0,1
No,25.0,61.0,98.0,1,1,95.0,No,A,Male,No,1,Low,5.0,Pass,Low,<Na>,24.0,1
Yes,20.0,75.0,89.0,1,1,54.0,Yes,D,Male,Yes,<Na>,Medium,17.0,Fail,Medium,2,29.0,3
Yes,23.0,59.0,89.0,1,1,42.0,Yes,D,Male,Yes,2,Medium,4.0,Fail,Medium,2,29.0,3
Yes,23.0,96.0,89.0,<Na>,1,62.0,Yes,C,Male,Yes,<Na>,Medium,1.0,Pass,Medium,2,29.0,2
Yes,20.0,75.0,89.0,1,1,54.0,Yes,D,Male,Yes,<Na>,Low,17.0,Fail,Low,2,29.0,3
Yes,23.0,59.0,89.0,1,1,42.0,Yes,D,Male,Yes,2,Low,4.0,Fail,Low,2,29.0,3
Yes,23.0,96.0,89.0,<Na>,1,62.0,Yes,C,Male,Yes,<Na>,Low,1.0,Pass,Low,2,29.0,2
Yes,19.0,63.0,92.0,1,1,40.0,Yes,D,Female,Yes,3,Medium,12.0,Fail,Medium,2,19.0,3
Yes,26.0,86.0,92.0,<Na>,1,94.0,Yes,A,Female,Yes,2,Medium,3.0,Pass,Medium,2,19.0,2
No,19.0,63.0,92.0,1,1,40.0,No,D,Female,Yes,3,Medium,12.0,Fail,High,2,19.0,3
No,26.0,86.0,92.0,<Na>,1,94.0,No,A,Female,Yes,2,Medium,3.0,Pass,High,2,19.0,2
