,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,ActiveLearner,PassStatus
0,19.0,64.0,Medium,No,Low,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,No,Fail
1,19.0,64.0,Medium,No,Low,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,No,Pass
2,19.0,64.0,Medium,No,Low,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,No,Pass
3,19.0,64.0,Medium,Yes,Low,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,Yes,Fail
4,19.0,64.0,Medium,Yes,Low,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,Yes,Pass
5,19.0,64.0,Medium,Yes,Low,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,Yes,Pass
6,19.0,64.0,Low,Yes,Low,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,Yes,Fail
7,19.0,64.0,Low,Yes,Low,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,Yes,Pass
8,19.0,64.0,Low,Yes,Low,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,Yes,Pass
9,19.0,64.0,Medium,Yes,Medium,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,Yes,Fail
10,19.0,64.0,Medium,Yes,Medium,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,Yes,Pass
11,19.0,64.0,Medium,Yes,Medium,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,Yes,Pass
15,19.0,64.0,High,No,Medium,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,No,Fail
16,19.0,64.0,High,No,Medium,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,No,Pass
17,19.0,64.0,High,No,Medium,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,No,Pass
18,24.0,98.0,Medium,Yes,Medium,Yes,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,Yes,Fail
19,24.0,98.0,Medium,Yes,Medium,Yes,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,Yes,Pass
20,24.0,98.0,Medium,Yes,Medium,Yes,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,Yes,Pass
