StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,ActiveLearner,PassStatus
19.0,64.0,Medium,No,Low,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,No,Fail
19.0,64.0,Medium,No,Low,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,No,Pass
19.0,64.0,Medium,No,Low,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,No,Pass
19.0,64.0,Medium,Yes,Low,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,Yes,Fail
19.0,64.0,Medium,Yes,Low,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,Yes,Pass
19.0,64.0,Medium,Yes,Low,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,Yes,Pass
19.0,64.0,Low,Yes,Low,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,Yes,Fail
19.0,64.0,Low,Yes,Low,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,Yes,Pass
19.0,64.0,Low,Yes,Low,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,Yes,Pass
19.0,64.0,Medium,Yes,Medium,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,Yes,Fail
19.0,64.0,Medium,Yes,Medium,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,Yes,Pass
19.0,64.0,Medium,Yes,Medium,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,Yes,Pass
19.0,64.0,High,No,Medium,Yes,Female,19.0,2,8.0,1,59.0,40.0,0,1,D,No,Fail
19.0,64.0,High,No,Medium,Yes,Female,23.0,3,16.0,0,90.0,66.0,0,1,C,No,Pass
19.0,64.0,High,No,Medium,Yes,Female,28.0,1,19.0,0,67.0,99.0,1,1,A,No,Pass
24.0,98.0,Medium,Yes,Medium,Yes,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,Yes,Fail
24.0,98.0,Medium,Yes,Medium,Yes,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,Yes,Pass
24.0,98.0,Medium,Yes,Medium,Yes,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,Yes,Pass
24.0,98.0,Low,No,High,Yes,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,No,Fail
24.0,98.0,Low,No,High,Yes,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,No,Pass
24.0,98.0,Low,No,High,Yes,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,No,Pass
24.0,98.0,Low,No,Medium,Yes,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,No,Fail
24.0,98.0,Low,No,Medium,Yes,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,No,Pass
24.0,98.0,Low,No,Medium,Yes,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,No,Pass
24.0,98.0,Medium,Yes,High,Yes,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,Yes,Fail
24.0,98.0,Medium,Yes,High,Yes,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,Yes,Pass
24.0,98.0,Medium,Yes,High,Yes,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,Yes,Pass
24.0,98.0,Low,No,Low,No,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,No,Fail
24.0,98.0,Low,No,Low,No,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,No,Pass
24.0,98.0,Low,No,Low,No,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,No,Pass
29.0,89.0,Medium,Yes,Medium,Yes,Male,20.0,0,17.0,1,75.0,54.0,1,2,D,Yes,Fail
29.0,89.0,Medium,Yes,Medium,Yes,Male,23.0,2,4.0,1,59.0,42.0,1,2,D,Yes,Fail
29.0,89.0,Medium,Yes,Medium,Yes,Male,23.0,0,1.0,0,96.0,62.0,1,2,C,Yes,Pass
29.0,89.0,Low,Yes,Low,Yes,Male,20.0,0,17.0,1,75.0,54.0,1,2,D,Yes,Fail
29.0,89.0,Low,Yes,Low,Yes,Male,23.0,2,4.0,1,59.0,42.0,1,2,D,Yes,Fail
29.0,89.0,Low,Yes,Low,Yes,Male,23.0,0,1.0,0,96.0,62.0,1,2,C,Yes,Pass
19.0,92.0,Medium,Yes,Medium,Yes,Female,19.0,3,12.0,1,63.0,40.0,1,2,D,Yes,Fail
19.0,92.0,Medium,Yes,Medium,Yes,Female,26.0,2,3.0,0,86.0,94.0,1,2,A,Yes,Pass
19.0,92.0,High,No,Medium,Yes,Female,19.0,3,12.0,1,63.0,40.0,1,2,D,No,Fail
19.0,92.0,High,No,Medium,Yes,Female,26.0,2,3.0,0,86.0,94.0,1,2,A,No,Pass
19.0,92.0,High,Yes,Medium,Yes,Female,19.0,3,12.0,1,63.0,40.0,1,2,D,Yes,Fail
19.0,92.0,High,Yes,Medium,Yes,Female,26.0,2,3.0,0,86.0,94.0,1,2,A,Yes,Pass
